Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C2",0402,5,1uF,
C11,0402,1,0.47uF,
"C14, C15, C37, C39, C40, C43, C45, C47, C49, C51, C53, C55, C57, C59, C61, C63, C65, C67, C69, C9",0201,20,0.1u,
"C16, C36, C38, C41, C42, C44, C46, C48, C50, C52, C54, C56, C58, C60, C62, C64, C66, C68, C7, C8",0402,20,10u,
"C17, C22, C23, C28, C29, C30, C31, C32, C33, C34, C35",0402,11,0.1uF,
"C18, C19",0402,2,5pF,
"C20, C21",0603,2,10uF,
"C24, C25, C26, C27",0603,4,4.7uF,
"CDONE1, INIT1, PWR1",LED-0603,3,green,
CN1,JST-PH-2-SMT-RA,1,JST_2PIN-SMT-RA,
"CRG1, LED2",LED-0603,2,amber,
"H1, H2",MountingHole_2.5mm,2,MountingHole,
"H3, H4",MountingHole_2.5mm_Pad,2,MountingHole,
J1,1X12_NO_SILK,1,CONN_12NO_SILK,
J2,1X16_NO_SILK,1,CONN_161X16_NO_SILK,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J4,Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal,1,~,
"L1, L10, L11, L12, L2, L3, L4, L5, L6, L7, L8, L9",0402,12,120,
LOGO1,OSHW-LOGO-S,1,OSHW-LOGOS,
"R1, R14, R15, R6, R8, R9",0402,6,5k1,
"R10, R18, R2, R3, R5",0402,5,4k7,
"R11, R7",0402,2,10k,
"R12, R4",0402,2,1k,
R13,R0402,1,2k,
R16,0402,1,12k,
U$1,SOD3716X117(SOD-123),1,MBR0520LT1G,
U$2,SOT95P280X145-6N,1,93LC56BT-I/OT,
U$3,3.3X2.9,1,SOF-232HST,
U1,caBGA256_LAT,1,LIFCL-40-7BG256I,
U2,DBV5_TEX-L,1,TLV75510PDBVR,
U3,W25Q128JW_WSON 6x5-mm_WIN,1,W25Q128JWPIM,
U4,DBV5_TEX-L,1,TLV75533PDBVRDBV5_TEX-L,
U5,QFN48_FT232HQ_FTD-M,1,FT232HQ-REELQFN48_FT232HQ_FTD-M,
U6,SOT95P240X105-3N,1,DMG3415U-7,
U7,SOT-23-5_MC-L,1,MCP73831T-2ACI/OTSOT-23-5_MC-L,
U8,DBV5_TEX-L,1,TLV75518PDBVR,
U9,ASDM1-12.000MHZ-LC-T_ABR-L,1,ASDM1-12.000MHZ-LC-T,
Y1,XTAL_ECS-480-10-37-JTN-TR,1,12MHz,
